project_type,project_size,project_duration,task_name,task_description,task_duration
Commercial,2500,365,Excavation,Preparing the site by removing earth for foundation,7
Commercial,2500,365,Foundation,Laying concrete foundation for the building,4
Commercial,2500,365,Structural Framing,Erecting the main structure of the building,5
Commercial,2500,365,Roofing,Installing and sealing the roof,5
Commercial,2500,365,Exterior Cladding,Applying exterior finishes to the building,5
Residential,180,120,Site Preparation,Clearing and leveling the construction site,2
Residential,180,120,Foundation,Pouring concrete for the house foundation,3
Residential,180,120,Framing,Building the wooden frame of the house,2
Residential,180,120,Roofing,Installing shingles and waterproofing,3
Residential,180,120,Plumbing,Installing water and waste pipes,2
Infrastructure,10000,730,Land Surveying,Mapping out the project area,7
Infrastructure,10000,730,Earthwork,Moving and grading soil for road construction,11
Infrastructure,10000,730,Paving,Laying asphalt for road surface,13
Infrastructure,10000,730,Bridge Construction,Building a concrete bridge,11
Infrastructure,10000,730,Signage Installation,Putting up traffic signs and road markings,16
Industrial,5000,540,Site Clearing,Preparing industrial site for construction,9
Industrial,5000,540,Foundation,Laying heavy-duty foundation for industrial equipment,12
Industrial,5000,540,Steel Erection,Assembling steel framework for the facility,8
Industrial,5000,540,Equipment Installation,Setting up industrial machinery,6
Industrial,5000,540,Electrical Systems,Installing power distribution systems,11
Commercial,3000,400,HVAC Installation,Setting up heating and cooling systems,6
Commercial,3000,400,Electrical Wiring,Installing electrical circuits and outlets,4
Commercial,3000,400,Plumbing,Fitting water supply and drainage systems,7
Commercial,3000,400,Elevator Installation,Setting up elevators in the building,5
Residential,220,150,Electrical Work,Wiring the house for electricity,1
Residential,220,150,Insulation,Installing thermal insulation in walls and attic,4
Residential,220,150,Drywall,Hanging and finishing drywall,1
Residential,220,150,Painting,Painting interior and exterior surfaces,2
Residential,220,150,Flooring,Installing hardwood and tile flooring,1
Infrastructure,8000,600,Tunnel Excavation,Digging underground passage for transportation,20
Infrastructure,8000,600,Concrete Lining,Reinforcing tunnel walls with concrete,17
Infrastructure,8000,600,Ventilation System,Installing air circulation system in tunnel,11
Infrastructure,8000,600,Electrical Systems,Setting up lighting and power in tunnel,10
Infrastructure,8000,600,Safety Equipment,Installing emergency systems and signage,12
Industrial,4500,480,Concrete Flooring,Pouring and finishing industrial-grade concrete floors,10
Industrial,4500,480,Overhead Crane Installation,Setting up heavy-lifting equipment,5
Industrial,4500,480,Fire Protection Systems,Installing sprinklers and alarms,6
Industrial,4500,480,Waste Management System,Setting up industrial waste processing equipment,9
Industrial,4500,480,Quality Control Room,Building and equipping QC facilities,7
Commercial,3500,420,Facade Installation,Mounting glass and metal facade elements,4
Commercial,3500,420,Landscaping,Planting trees and designing outdoor spaces,7
Commercial,3500,420,Parking Lot Construction,Paving and marking parking areas,3
Commercial,3500,420,Security Systems,Installing cameras and access control,6
Commercial,3500,420,Network Infrastructure,Setting up IT and communication systems,5
Residential,250,180,Kitchen Installation,Fitting cabinets and appliances,2
Residential,250,180,Bathroom Tiling,Laying tiles in bathrooms,2
Residential,250,180,Window Installation,Fitting energy-efficient windows,2
Residential,250,180,Garage Construction,Building attached garage structure,2
Residential,250,180,Deck Building,Constructing outdoor wooden deck,2
Infrastructure,12000,800,Water Main Installation,Laying underground water supply pipes,8
Infrastructure,12000,800,Sewage System,Installing sewage collection and treatment system,18
Infrastructure,12000,800,Street Lighting,Setting up street lamps and electrical connections,13
Infrastructure,12000,800,Fiber Optic Network,Installing high-speed internet infrastructure,12
Infrastructure,12000,800,Public Transportation Stops,Building bus stops and information systems,15
Industrial,5500,600,Clean Room Construction,Building contamination-free manufacturing area,9
Industrial,5500,600,Chemical Storage Facility,Constructing secure chemical storage units,8
Industrial,5500,600,Loading Dock,Building shipping and receiving area,10
Industrial,5500,600,Office Space Fit-Out,Finishing office areas within industrial facility,13
Industrial,5500,600,Solar Panel Installation,Mounting solar panels for energy efficiency,13
Commercial,4000,450,Curtain Wall Installation,Fitting exterior glass walls,2
Commercial,4000,450,Acoustic Treatment,Installing sound-absorbing materials,5
Commercial,4000,450,Fire Escape Construction,Building emergency exit staircases,5
Commercial,4000,450,Lobby Design,Creating and finishing entrance lobby,6
Commercial,4000,450,Restroom Fit-Out,Installing commercial restroom facilities,4
Residential,300,200,Home Automation,Installing smart home systems,2
Residential,300,200,Fireplace Installation,Building and finishing decorative fireplace,3
Residential,300,200,Custom Cabinetry,Crafting and installing built-in cabinets,2
Residential,300,200,Hardscaping,Creating paved outdoor living areas,2
Residential,300,200,Pool Construction,Building in-ground swimming pool,2
Infrastructure,15000,900,Bridge Painting,Applying protective coatings to bridge structure,18
Infrastructure,15000,900,Traffic Signal Installation,Setting up traffic lights and control systems,15
Infrastructure,15000,900,Noise Barrier Construction,Erecting sound-reducing walls along highway,15
Infrastructure,15000,900,Stormwater Management,Installing drainage systems and retention ponds,14
Infrastructure,15000,900,Bike Lane Creation,Painting and separating bicycle lanes,14
Industrial,6000,660,Conveyor System Installation,Setting up material handling conveyors,11
Industrial,6000,660,Compressed Air System,Installing air compressors and distribution lines,9
Industrial,6000,660,Robotic Assembly Line,Setting up automated manufacturing equipment,8
Industrial,6000,660,Warehouse Racking,Assembling high-bay storage systems,9
Industrial,6000,660,Industrial Ventilation,Installing large-scale air extraction systems,10
Commercial,4500,480,Green Roof Installation,Creating rooftop garden and vegetation,4
Commercial,4500,480,Gym Fit-Out,Equipping fitness center with specialized flooring,6
Commercial,4500,480,Conference Room Setup,Installing AV equipment and furnishing meeting spaces,7
Commercial,4500,480,Rainwater Harvesting System,Setting up water collection and filtration system,5
Commercial,4500,480,Art Installation,Mounting decorative artwork in public areas,4
Residential,280,190,Home Theater Setup,Building and equipping dedicated media room,3
Residential,280,190,Wine Cellar Construction,Creating temperature-controlled wine storage,3
Residential,280,190,Sauna Installation,Building and equipping indoor sauna,2
Residential,280,190,Skylights Fitting,Installing roof windows for natural lighting,2
Residential,280,190,Smart Irrigation System,Setting up automated lawn watering system,3
Residential,350,210,Site Preparation,Clearing land and initial grading,2
Residential,350,210,Foundation Work,Pouring concrete foundation and footings,2
Residential,350,210,Framing,Erecting the house's wooden structure,2
Residential,350,210,Roofing,Installing shingles and waterproofing,2
Residential,350,210,Electrical Wiring,Setting up home electrical systems,2
Commercial,5000,450,Excavation,Digging and preparing the construction site,7
Commercial,5000,450,Steel Framing,Erecting the building's steel skeleton,4
Commercial,5000,450,Concrete Pouring,Laying floors and structural elements,3
Commercial,5000,450,HVAC Installation,Setting up heating and cooling systems,5
Commercial,5000,450,Elevator Installation,Installing elevator systems,4
Industrial,8000,600,Site Clearing,Preparing industrial site for construction,6
Industrial,8000,600,Foundation,Laying reinforced concrete foundation,10
Industrial,8000,600,Steel Structure,Assembling the main steel framework,8
Industrial,8000,600,Roofing,Installing industrial-grade roofing,10
Industrial,8000,600,Machinery Setup,Installing and calibrating industrial equipment,11
Infrastructure,20000,800,Land Surveying,Detailed mapping of the project area,14
Infrastructure,20000,800,Earthmoving,Large-scale earth relocation and grading,9
Infrastructure,20000,800,Bridge Construction,Building a major bridge structure,12
Infrastructure,20000,800,Road Paving,Laying asphalt for new roadways,10
Infrastructure,20000,800,Traffic System Installation,Setting up traffic lights and signs,11
Residential,280,180,Plumbing,Installing water supply and drainage systems,2
Residential,280,180,Insulation,Applying thermal insulation in walls and attic,3
Residential,280,180,Drywall Installation,Hanging and finishing interior walls,1
Residential,280,180,Painting,Interior and exterior painting,1
Residential,280,180,Flooring,Installing various types of flooring,3
Commercial,4000,420,Curtain Wall Installation,Fitting exterior glass facade,5
Commercial,4000,420,Interior Partitioning,Creating office spaces and rooms,3
Commercial,4000,420,Electrical Systems,Setting up power distribution and lighting,4
Commercial,4000,420,Plumbing,Installing commercial-grade plumbing systems,4
Commercial,4000,420,Fire Safety Systems,Installing sprinklers and alarms,5
Industrial,10000,720,Heavy Machinery Foundation,Preparing specialized foundations for equipment,9
Industrial,10000,720,Clean Room Construction,Building sterile manufacturing areas,10
Industrial,10000,720,Chemical Storage Facilities,Constructing safe chemical storage units,10
Industrial,10000,720,Waste Treatment Plant,Setting up industrial waste processing,9
Industrial,10000,720,Quality Control Lab,Building and equipping testing facilities,12
Infrastructure,15000,750,Tunnel Excavation,Digging underground passage for transportation,20
Infrastructure,15000,750,Tunnel Lining,Reinforcing tunnel structure,12
Infrastructure,15000,750,Ventilation Systems,Installing air circulation in tunnel,14
Infrastructure,15000,750,Railway Track Laying,Installing rail lines and signaling,14
Infrastructure,15000,750,Station Construction,Building transport hub and platforms,15
Residential,400,240,Kitchen Installation,Fitting cabinets and appliances,1
Residential,400,240,Bathroom Tiling,Laying tiles in bathrooms,2
Residential,400,240,Landscaping,Designing and planting outdoor areas,2
Residential,400,240,Driveway Paving,Creating paved driveway and walkways,2
Commercial,6000,540,Facade Work,Installing decorative exterior elements,4
Commercial,6000,540,Acoustic Treatment,Soundproofing key areas,3
Commercial,6000,540,Network Infrastructure,Setting up IT and communication systems,6
Commercial,6000,540,Security Systems,Installing surveillance and access control,4
Commercial,6000,540,Signage Installation,Mounting interior and exterior signs,6
Industrial,12000,780,Assembly Line Setup,Installing automated production lines,6
Industrial,12000,780,Overhead Crane Installation,Setting up heavy-lifting equipment,6
Industrial,12000,780,Electrical Substation,Building power distribution center,7
Industrial,12000,780,Loading Dock Construction,Creating shipping and receiving areas,11
Industrial,12000,780,Office Space Fit-Out,Finishing administrative areas,5
Infrastructure,25000,900,Highway Expansion,Widening existing roadways,7
Infrastructure,25000,900,Overpass Construction,Building elevated road sections,10
Infrastructure,25000,900,Drainage Systems,Installing stormwater management,11
Infrastructure,25000,900,Noise Barriers,Erecting sound-reducing walls,13
Infrastructure,25000,900,Landscaping,Planting trees and designing green spaces,18
Residential,320,200,Solar Panel Installation,Mounting rooftop solar energy system,2
Residential,320,200,Smart Home Systems,Installing home automation technology,2
Residential,320,200,Window Fitting,Installing energy-efficient windows,2
Residential,320,200,Garage Construction,Building attached garage structure,2
Residential,320,200,Fence Installation,Erecting property boundary fence,2
Commercial,5500,480,Lobby Design,Creating impressive entrance area,4
Commercial,5500,480,Restroom Fit-Out,Installing commercial bathroom facilities,5
Commercial,5500,480,Parking Lot Construction,Paving and marking parking areas,4
Commercial,5500,480,Green Roof Installation,Creating rooftop garden,2
Commercial,5500,480,Art Installation,Mounting decorative artwork,4
Industrial,9000,660,Robotic System Integration,Setting up automated manufacturing robots,12
Industrial,9000,660,HVAC for Industrial Use,Installing specialized climate control,8
Industrial,9000,660,Fire Suppression Systems,Fitting advanced fire protection,8
Industrial,9000,660,Industrial Flooring,Laying chemical-resistant flooring,7
Industrial,9000,660,Safety System Implementation,Installing emergency protocols and equipment,7
Infrastructure,18000,840,Light Rail Construction,Building urban train system,11
Infrastructure,18000,840,Station Renovations,Upgrading existing transport hubs,11
Infrastructure,18000,840,Bike Lane Network,Creating dedicated cycling infrastructure,12
Infrastructure,18000,840,Smart Traffic Systems,Implementing AI-driven traffic management,14
Infrastructure,18000,840,Public Wi-Fi Network,Setting up citywide internet access,14
Residential,450,270,Home Theater Setup,Building and equipping media room,2
Residential,450,270,Wine Cellar Construction,Creating temperature-controlled storage,2
Residential,450,270,Pool Installation,Building in-ground swimming pool,2
Residential,450,270,Outdoor Kitchen,Constructing fully-equipped outdoor cooking area,3
